PurchaseOrderID,OrderDate,ShipDate,VendorID,VendorName,ProductID,ProductName,OrderQty,UnitPrice,TotalAmount,ProductCategory,ProductSubcategory
19,2011-12-15,2011-12-24,1696,Chicago City Saddles,909,ML Mountain Seat/Saddle,550,30.44,16741.73,Components,Saddles
19,2011-12-15,2011-12-24,1696,Chicago City Saddles,910,HL Mountain Seat/Saddle,550,40.94,22516.73,Components,Saddles
19,2011-12-15,2011-12-24,1696,Chicago City Saddles,911,LL Road Seat/Saddle,550,21.09,11601.98,Components,Saddles
19,2011-12-15,2011-12-24,1696,Chicago City Saddles,912,ML Road Seat/Saddle,550,30.44,16741.73,Components,Saddles
20,2011-12-15,2011-12-24,1504,Chicago Rent-All,506,Reflector,60,9.2,551.88,Uncategorized,Not Specified
21,2011-12-15,2011-12-24,1544,Circuit Cycles,351,Front Derailleur Cage,550,5.78,3176.25,Uncategorized,Not Specified
21,2011-12-15,2011-12-24,1544,Circuit Cycles,352,Front Derailleur Linkage,550,1.16,635.25,Uncategorized,Not Specified
21,2011-12-15,2011-12-24,1544,Circuit Cycles,679,Rear Derailleur Cage,550,5.78,3176.25,Uncategorized,Not Specified
22,2011-12-15,2011-12-24,1530,Comfort Road Bicycles,507,LL Mountain Rim,550,23.39,12866.7,Uncategorized,Not Specified
22,2011-12-15,2011-12-24,1530,Comfort Road Bicycles,508,ML Mountain Rim,550,27.65,15205.58,Uncategorized,Not Specified
23,2011-12-15,2011-12-24,1508,"Compete Enterprises, Inc",355,Guide Pulley,550,1.37,750.75,Uncategorized,Not Specified
23,2011-12-15,2011-12-24,1508,"Compete Enterprises, Inc",940,HL Road Pedal,550,62.99,34644.23,Components,Pedals
23,2011-12-15,2011-12-24,1508,"Compete Enterprises, Inc",535,Tension Pulley,550,3.49,1917.3,Uncategorized,Not Specified
24,2011-12-15,2011-12-24,1694,"Compete, Inc.",351,Front Derailleur Cage,550,6.2,3407.25,Uncategorized,Not Specified
24,2011-12-15,2011-12-24,1694,"Compete, Inc.",352,Front Derailleur Linkage,550,1.47,808.5,Uncategorized,Not Specified
25,2011-12-15,2011-12-24,1624,Competition Bike Training Systems,507,LL Mountain Rim,550,22.17,12191.03,Uncategorized,Not Specified
25,2011-12-15,2011-12-24,1624,Competition Bike Training Systems,508,ML Mountain Rim,550,29.28,16106.48,Uncategorized,Not Specified
26,2011-12-15,2011-12-24,1548,Consumer Cycles,491,HL Nipple,3,19.98,59.94,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,341,Flat Washer 1,3,41.17,123.51,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,342,Flat Washer 6,3,39.07,117.21,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,343,Flat Washer 2,3,43.34,130.03,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,344,Flat Washer 9,3,39.07,117.21,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,345,Flat Washer 4,3,36.97,110.91,Uncategorized,Not Specified
27,2011-12-15,2011-12-24,1598,Continental Pro Cycles,346,Flat Washer 3,3,41.24,123.73,Uncategorized,Not Specified
28,2011-12-15,2011-12-24,1658,Crowley Sport,935,LL Mountain Pedal,550,31.49,17319.23,Components,Pedals
28,2011-12-15,2011-12-24,1658,Crowley Sport,936,ML Mountain Pedal,550,48.29,26559.23,Components,Pedals
29,2012-01-08,2012-01-17,1536,Cruger Bike Company,375,Hex Nut 5,3,43.34,130.03,Uncategorized,Not Specified
29,2012-01-08,2012-01-17,1536,Cruger Bike Company,376,Hex Nut 6,3,39.07,117.21,Uncategorized,Not Specified
29,2012-01-08,2012-01-17,1536,Cruger Bike Company,377,Hex Nut 16,3,36.97,110.91,Uncategorized,Not Specified
29,2012-01-08,2012-01-17,1536,Cruger Bike Company,378,Hex Nut 17,3,41.24,123.73,Uncategorized,Not Specified
29,2012-01-08,2012-01-17,1536,Cruger Bike Company,379,Hex Nut 7,3,36.97,110.91,Uncategorized,Not Specified
30,2012-01-08,2012-01-17,1568,"Custom Frames, Inc.",476,Metal Angle,550,15.89,8737.58,Uncategorized,Not Specified
30,2012-01-08,2012-01-17,1568,"Custom Frames, Inc.",477,Metal Bar 1,550,11.67,6416.03,Uncategorized,Not Specified
30,2012-01-08,2012-01-17,1568,"Custom Frames, Inc.",478,Metal Bar 2,550,11.09,6098.4,Uncategorized,Not Specified
31,2012-01-08,2012-01-17,1648,Wide World Importers,402,Keyed Washer,3,47.47,142.41,Uncategorized,Not Specified
32,2012-01-08,2012-01-17,1646,Electronic Bike Repair & Supplies,510,LL Road Rim,550,23.08,12693.45,Uncategorized,Not Specified
32,2012-01-08,2012-01-17,1646,Electronic Bike Repair & Supplies,511,ML Road Rim,550,29.27,16100.7,Uncategorized,Not Specified
33,2012-01-16,2012-01-25,1672,Expert Bike Co,403,External Lock Washer 3,3,45.37,136.11,Uncategorized,Not Specified
33,2012-01-16,2012-01-25,1672,Expert Bike Co,404,External Lock Washer 4,3,49.64,148.93,Uncategorized,Not Specified
33,2012-01-16,2012-01-25,1672,Expert Bike Co,405,External Lock Washer 9,3,45.37,136.11,Uncategorized,Not Specified
34,2012-01-16,2012-01-25,1600,Federal Sport,525,LL Shell,550,2.32,1276.28,Uncategorized,Not Specified
35,2012-01-16,2012-01-25,1522,First National Sport Co.,526,HL Shell,550,3.64,2003.93,Uncategorized,Not Specified
36,2012-01-16,2012-01-25,1570,First Rate Bicycles,908,LL Mountain Seat/Saddle,550,21.09,11601.98,Components,Saddles
36,2012-01-16,2012-01-25,1570,First Rate Bicycles,909,ML Mountain Seat/Saddle,550,30.44,16741.73,Components,Saddles
36,2012-01-16,2012-01-25,1570,First Rate Bicycles,913,HL Road Seat/Saddle,550,40.94,22516.73,Components,Saddles
37,2012-01-16,2012-01-25,1516,Gardner Touring Cycles,356,LL Grip Tape,60,3.6,216.09,Uncategorized,Not Specified
37,2012-01-16,2012-01-25,1516,Gardner Touring Cycles,357,ML Grip Tape,60,3.98,238.77,Uncategorized,Not Specified
38,2012-01-16,2012-01-25,1506,Greenwood Athletic Company,935,LL Mountain Pedal,550,31.49,17319.23,Components,Pedals
38,2012-01-16,2012-01-25,1506,Greenwood Athletic Company,936,ML Mountain Pedal,550,48.29,26559.23,Components,Pedals
39,2012-01-16,2012-01-25,1626,Hill Bicycle Center,524,HL Spindle/Axle,550,12.97,7132.13,Uncategorized,Not Specified
40,2012-01-16,2012-01-25,1542,Hill's Bicycle Service,911,LL Road Seat/Saddle,550,21.09,11601.98,Components,Saddles
40,2012-01-16,2012-01-25,1542,Hill's Bicycle Service,912,ML Road Seat/Saddle,550,30.44,16741.73,Components,Saddles
41,2012-01-16,2012-01-25,1610,Hybrid Bicycle Center,910,HL Mountain Seat/Saddle,550,40.94,22516.73,Components,Saddles
42,2012-01-16,2012-01-25,1638,Inline Accessories,937,HL Mountain Pedal,550,62.99,34644.23,Components,Pedals
43,2012-01-16,2012-01-25,1582,Inner City Bikes,463,Lock Washer 4,3,47.52,142.57,Uncategorized,Not Specified
43,2012-01-16,2012-01-25,1582,Inner City Bikes,464,Lock Washer 5,3,45.42,136.27,Uncategorized,Not Specified
43,2012-01-16,2012-01-25,1582,Inner City Bikes,465,Lock Washer 10,3,49.7,149.09,Uncategorized,Not Specified
44,2012-01-16,2012-01-25,1510,International,462,Lower Head Race,3,47.68,143.04,Uncategorized,Not Specified
45,2012-01-16,2012-01-25,1526,International Bicycles,510,LL Road Rim,550,23.4,12872.48,Uncategorized,Not Specified
45,2012-01-16,2012-01-25,1526,International Bicycles,511,ML Road Rim,550,27.87,15326.85,Uncategorized,Not Specified
46,2012-01-16,2012-01-25,1644,International Sport Assoc.,527,Spokes,550,6.75,3713.33,Uncategorized,Not Specified
47,2012-01-16,2012-01-25,1680,Jackson Authority,938,LL Road Pedal,550,31.49,17319.23,Components,Pedals
47,2012-01-16,2012-01-25,1680,Jackson Authority,939,ML Road Pedal,550,48.29,26559.23,Components,Pedals
47,2012-01-16,2012-01-25,1680,Jackson Authority,509,HL Mountain Rim,550,36.28,19952.63,Uncategorized,Not Specified
48,2012-01-16,2012-01-25,1584,Trey Research,492,Paint - Black,60,50.75,3044.79,Uncategorized,Not Specified
48,2012-01-16,2012-01-25,1584,Trey Research,493,Paint - Red,60,58.26,3495.87,Uncategorized,Not Specified
48,2012-01-16,2012-01-25,1584,Trey Research,494,Paint - Silver,60,50.75,3044.79,Uncategorized,Not Specified
48,2012-01-16,2012-01-25,1584,Trey Research,495,Paint - Blue,60,62.93,3775.59,Uncategorized,Not Specified
48,2012-01-16,2012-01-25,1584,Trey Research,496,Paint - Yellow,60,49.65,2979.27,Uncategorized,Not Specified
49,2012-01-20,2012-01-29,1620,Lakewood Bicycle,523,LL Spindle/Axle,550,10.38,5711.48,Uncategorized,Not Specified
50,2012-01-20,2012-01-29,1666,Leaf River Terrain,422,Thin-Jam Lock Nut 9,3,47.68,143.04,Uncategorized,Not Specified
50,2012-01-20,2012-01-29,1666,Leaf River Terrain,423,Thin-Jam Lock Nut 10,3,45.58,136.74,Uncategorized,Not Specified
50,2012-01-20,2012-01-29,1666,Leaf River Terrain,424,Thin-Jam Lock Nut 1,3,49.85,149.56,Uncategorized,Not Specified
51,2012-01-20,2012-01-29,1592,Lindell,490,LL Nipple,3,12.72,38.15,Uncategorized,Not Specified
51,2012-01-20,2012-01-29,1592,Lindell,491,HL Nipple,3,19.94,59.82,Uncategorized,Not Specified
52,2012-01-20,2012-01-29,1618,Metro Sport Equipment,528,Seat Lug,3,38.16,114.47,Uncategorized,Not Specified
53,2012-01-24,2012-02-02,1612,"Midwest Sport, Inc.",505,Cone-Shaped Race,3,44.22,132.65,Uncategorized,Not Specified
54,2012-01-24,2012-02-02,1586,Mitchell Sports,938,LL Road Pedal,550,31.49,17319.23,Components,Pedals
54,2012-01-24,2012-02-02,1586,Mitchell Sports,939,ML Road Pedal,550,48.29,26559.23,Components,Pedals
55,2012-01-24,2012-02-02,1500,Morgan Bike Accessories,358,HL Grip Tape,60,6.98,418.95,Uncategorized,Not Specified
56,2012-01-24,2012-02-02,1656,Mountain Works,375,Hex Nut 5,3,43.27,129.81,Uncategorized,Not Specified
56,2012-01-24,2012-02-02,1656,Mountain Works,376,Hex Nut 6,3,47.54,142.63,Uncategorized,Not Specified
56,2012-01-24,2012-02-02,1656,Mountain Works,377,Hex Nut 16,3,43.27,129.81,Uncategorized,Not Specified
56,2012-01-24,2012-02-02,1656,Mountain Works,378,Hex Nut 17,3,41.17,123.51,Uncategorized,Not Specified
57,2012-01-24,2012-02-02,1572,National Bike Association,356,LL Grip Tape,60,3.38,202.86,Uncategorized,Not Specified
57,2012-01-24,2012-02-02,1572,National Bike Association,357,ML Grip Tape,60,4.32,258.93,Uncategorized,Not Specified
58,2012-01-24,2012-02-02,1562,Norstan Bike Hut,375,Hex Nut 5,3,43.27,129.81,Uncategorized,Not Specified
58,2012-01-24,2012-02-02,1562,Norstan Bike Hut,376,Hex Nut 6,3,41.17,123.51,Uncategorized,Not Specified
58,2012-01-24,2012-02-02,1562,Norstan Bike Hut,377,Hex Nut 16,3,45.44,136.33,Uncategorized,Not Specified
58,2012-01-24,2012-02-02,1562,Norstan Bike Hut,378,Hex Nut 17,3,41.17,123.51,Uncategorized,Not Specified
58,2012-01-24,2012-02-02,1562,Norstan Bike Hut,379,Hex Nut 7,3,39.07,117.21,Uncategorized,Not Specified
59,2012-01-24,2012-02-02,1662,Northern Bike Travel,490,LL Nipple,3,12.36,37.08,Uncategorized,Not Specified
60,2012-01-24,2012-02-02,1682,"Premier Sport, Inc.",513,Touring Rim,550,39.2,21558.08,Uncategorized,Not Specified
61,2012-01-24,2012-02-02,1686,Pro Sport Industries,403,External Lock Washer 3,3,45.44,136.33,Uncategorized,Not Specified
61,2012-01-24,2012-02-02,1686,Pro Sport Industries,404,External Lock Washer 4,3,41.17,123.51,Uncategorized,Not Specified
61,2012-01-24,2012-02-02,1686,Pro Sport Industries,405,External Lock Washer 9,3,39.07,117.21,Uncategorized,Not Specified
61,2012-01-24,2012-02-02,1686,Pro Sport Industries,406,External Lock Washer 5,3,43.34,130.03,Uncategorized,Not Specified
62,2012-01-24,2012-02-02,1684,Professional Athletic Consultants,931,LL Road Tire,550,34.87,19178.78,Accessories,Tires and Tubes
62,2012-01-24,2012-02-02,1684,Professional Athletic Consultants,932,ML Road Tire,550,39.76,21869.93,Accessories,Tires and Tubes
63,2012-01-24,2012-02-02,1534,Ready Rentals,422,Thin-Jam Lock Nut 9,3,47.68,143.04,Uncategorized,Not Specified
63,2012-01-24,2012-02-02,1534,Ready Rentals,423,Thin-Jam Lock Nut 10,3,45.58,136.74,Uncategorized,Not Specified
63,2012-01-24,2012-02-02,1534,Ready Rentals,424,Thin-Jam Lock Nut 1,3,49.85,149.56,Uncategorized,Not Specified
64,2012-01-24,2012-02-02,1614,"Reliance Fitness, Inc.",341,Flat Washer 1,3,47.58,142.73,Uncategorized,Not Specified
64,2012-01-24,2012-02-02,1614,"Reliance Fitness, Inc.",342,Flat Washer 6,3,45.48,136.43,Uncategorized,Not Specified
65,2012-01-24,2012-02-02,1588,Signature Cycles,931,LL Road Tire,550,34.35,18890.03,Accessories,Tires and Tubes
65,2012-01-24,2012-02-02,1588,Signature Cycles,932,ML Road Tire,550,39.24,21581.18,Accessories,Tires and Tubes
66,2012-01-24,2012-02-02,1622,Speed Corporation,341,Flat Washer 1,3,47.47,142.41,Uncategorized,Not Specified
66,2012-01-24,2012-02-02,1622,Speed Corporation,342,Flat Washer 6,3,45.37,136.11,Uncategorized,Not Specified
66,2012-01-24,2012-02-02,1622,Speed Corporation,343,Flat Washer 2,3,49.64,148.93,Uncategorized,Not Specified
66,2012-01-24,2012-02-02,1622,Speed Corporation,344,Flat Washer 9,3,45.37,136.11,Uncategorized,Not Specified
67,2012-01-24,2012-02-02,1632,Sport Fan Co.,928,LL Mountain Tire,550,32.77,18023.78,Accessories,Tires and Tubes
67,2012-01-24,2012-02-02,1632,Sport Fan Co.,929,ML Mountain Tire,550,37.09,20397.3,Accessories,Tires and Tubes
67,2012-01-24,2012-02-02,1632,Sport Fan Co.,930,HL Mountain Tire,550,43.04,23671.73,Accessories,Tires and Tubes
68,2012-01-24,2012-02-02,1608,Sport Playground,332,Freewheel,550,10.82,5948.25,Uncategorized,Not Specified
69,2012-01-25,2012-02-03,1576,Superior Bicycles,948,Front Brakes,550,82.83,45558.98,Components,Brakes
69,2012-01-25,2012-02-03,1576,Superior Bicycles,907,Rear Brakes,550,82.83,45558.98,Components,Brakes
70,2012-01-25,2012-02-03,1590,SUPERSALES INC.,325,Decal 1,1250,0.21,262.5,Uncategorized,Not Specified
70,2012-01-25,2012-02-03,1590,SUPERSALES INC.,326,Decal 2,1250,0.21,262.5,Uncategorized,Not Specified
71,2012-01-25,2012-02-03,1514,Training Systems,320,Chainring Bolts,3,49.64,148.93,Uncategorized,Not Specified
71,2012-01-25,2012-02-03,1514,Training Systems,321,Chainring Nut,3,44.32,132.96,Uncategorized,Not Specified
71,2012-01-25,2012-02-03,1514,Training Systems,322,Chainring,60,28.7,1721.79,Uncategorized,Not Specified
72,2012-01-25,2012-02-03,1498,"Trikes, Inc.",930,HL Mountain Tire,550,42.51,23382.98,Accessories,Tires and Tubes
72,2012-01-25,2012-02-03,1498,"Trikes, Inc.",921,Mountain Tire Tube,550,5.59,3072.3,Accessories,Tires and Tubes
73,2012-02-09,2012-02-18,1674,Varsity Sport Co.,952,Chain,60,15.74,944.37,Components,Chains
74,2012-02-09,2012-02-18,1652,Victory Bikes,933,HL Road Tire,550,43.46,23902.73,Accessories,Tires and Tubes
74,2012-02-09,2012-02-18,1652,Victory Bikes,934,Touring Tire,550,37.62,20691.83,Accessories,Tires and Tubes
75,2012-02-09,2012-02-18,1578,"Vision Cycles, Inc.",317,LL Crankarm,550,29.58,16268.18,Uncategorized,Not Specified
75,2012-02-09,2012-02-18,1578,"Vision Cycles, Inc.",318,ML Crankarm,550,36.1,19854.45,Uncategorized,Not Specified
75,2012-02-09,2012-02-18,1578,"Vision Cycles, Inc.",319,HL Crankarm,550,48.58,26720.93,Uncategorized,Not Specified
76,2012-02-09,2012-02-18,1538,Vista Road Bikes,928,LL Mountain Tire,550,32.25,17735.03,Accessories,Tires and Tubes
76,2012-02-09,2012-02-18,1538,Vista Road Bikes,929,ML Mountain Tire,550,36.56,20108.55,Accessories,Tires and Tubes
77,2012-02-09,2012-02-18,1556,West Junction Cycles,319,HL Crankarm,550,46.42,25531.28,Uncategorized,Not Specified
78,2012-02-09,2012-02-18,1554,WestAmerica Bicycle Co.,359,Thin-Jam Hex Nut 9,3,47.52,142.57,Uncategorized,Not Specified
78,2012-02-09,2012-02-18,1554,WestAmerica Bicycle Co.,360,Thin-Jam Hex Nut 10,3,45.42,136.27,Uncategorized,Not Specified
78,2012-02-09,2012-02-18,1554,WestAmerica Bicycle Co.,361,Thin-Jam Hex Nut 1,3,49.7,149.09,Uncategorized,Not Specified
78,2012-02-09,2012-02-18,1554,WestAmerica Bicycle Co.,362,Thin-Jam Hex Nut 2,3,45.42,136.27,Uncategorized,Not Specified
78,2012-02-09,2012-02-18,1554,WestAmerica Bicycle Co.,363,Thin-Jam Hex Nut 15,3,43.32,129.97,Uncategorized,Not Specified
79,2012-02-09,2012-02-18,1688,Wood Fitness,2,Bearing Ball,3,41.92,125.75,Uncategorized,Not Specified
80,2012-02-09,2012-02-18,1580,"Litware, Inc.",1,Adjustable Race,3,50.26,150.79,Uncategorized,Not Specified
81,2012-02-09,2012-02-18,1496,Advanced Bicycles,361,Thin-Jam Hex Nut 1,3,49.85,149.56,Uncategorized,Not Specified
81,2012-02-09,2012-02-18,1496,Advanced Bicycles,362,Thin-Jam Hex Nut 2,3,45.58,136.74,Uncategorized,Not Specified
81,2012-02-09,2012-02-18,1496,Advanced Bicycles,363,Thin-Jam Hex Nut 15,3,43.48,130.44,Uncategorized,Not Specified
81,2012-02-09,2012-02-18,1496,Advanced Bicycles,364,Thin-Jam Hex Nut 16,3,47.75,143.26,Uncategorized,Not Specified
82,2012-02-09,2012-02-18,1494,Allenson Cycles,530,Seat Post,550,16.09,8847.3,Uncategorized,Not Specified
83,2012-02-09,2012-02-18,1650,American Bicycles and Wheels,4,Headset Ball Bearings,3,57.03,171.08,Uncategorized,Not Specified
84,2012-02-09,2012-02-18,1654,American Bikes,512,HL Road Rim,550,37.09,20397.3,Uncategorized,Not Specified
85,2012-02-09,2012-02-18,1664,Anderson's Custom Bikes,513,Touring Rim,550,26.6,14628.08,Uncategorized,Not Specified
86,2012-02-09,2012-02-18,1678,"Proseware, Inc.",317,LL Crankarm,550,27.06,14882.18,Uncategorized,Not Specified
86,2012-02-09,2012-02-18,1678,"Proseware, Inc.",318,ML Crankarm,550,33.58,18468.45,Uncategorized,Not Specified
86,2012-02-09,2012-02-18,1678,"Proseware, Inc.",319,HL Crankarm,550,46.06,25334.93,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,408,External Lock Washer 6,3,47.54,142.63,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,409,External Lock Washer 1,3,43.27,129.81,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,410,External Lock Washer 8,3,41.17,123.51,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,411,External Lock Washer 2,3,45.44,136.33,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,412,Internal Lock Washer 3,3,41.17,123.51,Uncategorized,Not Specified
87,2012-02-09,2012-02-18,1616,Aurora Bike Center,413,Internal Lock Washer 4,3,39.07,117.21,Uncategorized,Not Specified
88,2012-02-09,2012-02-18,1492,Australia Bike Retailer,427,Thin-Jam Lock Nut 16,3,47.6,142.79,Uncategorized,Not Specified
88,2012-02-09,2012-02-18,1492,Australia Bike Retailer,428,Thin-Jam Lock Nut 5,3,43.32,129.97,Uncategorized,Not Specified
88,2012-02-09,2012-02-18,1492,Australia Bike Retailer,429,Thin-Jam Lock Nut 6,3,41.22,123.67,Uncategorized,Not Specified
88,2012-02-09,2012-02-18,1492,Australia Bike Retailer,430,Thin-Jam Lock Nut 3,3,45.5,136.49,Uncategorized,Not Specified
88,2012-02-09,2012-02-18,1492,Australia Bike Retailer,431,Thin-Jam Lock Nut 4,3,41.22,123.67,Uncategorized,Not Specified
89,2012-02-23,2012-03-03,1602,Beaumont Bikes,320,Chainring Bolts,3,47.47,142.41,Uncategorized,Not Specified
89,2012-02-23,2012-03-03,1602,Beaumont Bikes,321,Chainring Nut,3,42.8,128.39,Uncategorized,Not Specified
89,2012-02-23,2012-03-03,1602,Beaumont Bikes,322,Chainring,60,25.42,1525.23,Uncategorized,Not Specified
90,2012-02-23,2012-03-03,1540,Bergeron Off-Roads,442,Lock Nut 7,3,43.4,130.19,Uncategorized,Not Specified
90,2012-02-23,2012-03-03,1540,Bergeron Off-Roads,443,Lock Nut 8,3,39.12,117.37,Uncategorized,Not Specified
90,2012-02-23,2012-03-03,1540,Bergeron Off-Roads,444,Lock Nut 9,3,37.02,111.07,Uncategorized,Not Specified
91,2012-02-23,2012-03-03,1628,Bicycle Specialists,941,Touring Pedal,550,62.99,34644.23,Components,Pedals
92,2012-02-23,2012-03-03,1604,Bike Satellite Inc.,320,Chainring Bolts,3,45.37,136.11,Uncategorized,Not Specified
92,2012-02-23,2012-03-03,1604,Bike Satellite Inc.,321,Chainring Nut,3,40.49,121.46,Uncategorized,Not Specified
93,2012-02-27,2012-03-07,1690,Bloomington Multisport,504,Cup-Shaped Race,3,48.76,146.29,Uncategorized,Not Specified
94,2012-02-27,2012-03-07,1566,Burnett Road Warriors,497,Pinch Bolt,3,34.19,102.56,Uncategorized,Not Specified
95,2012-02-27,2012-03-07,1698,Business Equipment Center,323,Crown Race,3,50.26,150.79,Uncategorized,Not Specified
96,2012-02-27,2012-03-07,1560,Capital Road Cycles,523,LL Spindle/Axle,550,10.73,5902.05,Uncategorized,Not Specified
